Date,Open,High,Low,Close,Adj Close,Volume
2021-04-26,82900,83500,82600,83500,83500,15489938
2021-04-27,83200,83300,82500,82900,82900,12941533
2021-04-28,83200,83200,82100,82100,82100,15596759
2021-04-29,82400,82500,81500,81700,81700,20000973
2021-04-30,81900,82100,81500,81500,81500,18673197
2021-05-03,81000,82400,81000,81700,81700,15710336
2021-05-04,81900,82600,81800,82600,82600,12532550
2021-05-06,81700,82300,81700,82300,82300,17047511
2021-05-07,81800,82100,81500,81900,81900,14154882
2021-05-10,82300,83500,81800,83200,83200,19385027
2021-05-11,82500,82600,81100,81200,81200,28996680
2021-05-12,80800,81200,79800,80000,80000,35812268
2021-05-13,78900,79600,78400,78500,78500,31490096
2021-05-14,79000,80300,78900,80100,80100,16450920
2021-05-17,80800,80900,79200,79600,79600,17740855
2021-05-18,79600,80000,79100,79600,79600,17494407
2021-05-20,79400,79700,79100,79500,79500,16541828
2021-05-21,80100,81500,79800,80100,80100,20961714
2021-05-24,80100,80400,79500,79700,79700,13398666
2021-05-25,80000,80400,79800,79900,79900,13628942
2021-05-26,80400,80500,79700,79800,79800,11984359
2021-05-27,80000,80000,79100,79600,79600,23198510
2021-05-28,79800,80400,79400,80100,80100,12360199
2021-05-31,80300,80600,79600,80500,80500,13321324
2021-06-01,80500,81300,80100,80600,80600,14058401
2021-06-02,80400,81400,80300,80800,80800,16414644
2021-06-03,81300,83000,81100,82800,82800,29546007
2021-06-04,82700,82700,81500,82200,82200,18112259
2021-06-07,82700,82800,81600,81900,81900,16496197
2021-06-08,82300,82600,81800,81900,81900,12781226
2021-06-09,81500,82000,81100,81100,81100,14908823
2021-06-10,81300,81400,80900,81000,81000,17586995
2021-06-11,81200,81700,80700,81000,81000,14087962
2021-06-14,80800,80900,80500,80500,80500,10550078
2021-06-15,80900,81200,80600,80900,80900,10075685
2021-06-16,81500,81900,81100,81800,81800,14999855
2021-06-17,81100,81300,80700,80900,80900,14007385
2021-06-18,81100,81100,80500,80500,80500,14916721
